listing_id,host_name,borough,nights_booked,operator_total_listings,confidence_score,enforcement_output
999122762516817653,Rachel,Camden,255,6,0.97,"## ENFORCEMENT NOTICE
To: Rachel, Host of Airbnb listing ID 999122762516817653, located in Camden, London  
From: Housing Enforcement Officer, Camden Council  
Date: 25 September 2025  

You are hereby served with an Enforcement Notice under the Deregulation Act 2015, Section 44, which caps short‑term residential letting to a maximum of 90 nights in any 12‑month period, and under the Housing Act 2004, which empowers the Council to take enforcement action for breaches of the private rented sector licensing regime.  

Our records indicate that the property has been let for an estimated 255 nights in the last 365 days, exceeding the statutory limit by 165 nights. This breach is confirmed by an algorithmic confidence score of 0.97/1.00 and is further substantiated by the operator’s portfolio of six short‑term lets within the borough.  

You are required to:  
1. Immediately cease all short‑term lettings that exceed the 90‑night annual limit;  
2. Remove the listing from any online platforms until compliance is achieved;  
3. Provide written confirmation within 14 days of receipt of this Notice that you will adhere to the statutory limit and implement a monitoring system to prevent future breaches.  

Failure to comply may result in further legal action, including prosecution.

## EVIDENCE SUMMARY
The Airbnb listing (ID 999122762516817653) in Camden has been let for an estimated 255 nights over the past 12 months, surpassing the 90‑night cap set by the Deregulation Act 2015, s.44. The host, Rachel, operates a portfolio of six short‑term properties, and the Council’s algorithmic analysis assigns a 0.97 confidence score to the breach. This systematic violation triggers the Council’s enforcement powers under the Housing Act 2004.

## RECOMMENDED ACTION
Prosecution"
812864961166500325,Ava And Team,Hammersmith and Fulham,221,1,0.97,"## ENFORCEMENT NOTICE  
To: Ava And Team, Host of Airbnb listing ID 812864961166500325, located in Hammersmith and Fulham, London.  
Pursuant to the Deregulation Act 2015, Section 44, and the Housing Act 2004, you are hereby notified that the short‑term letting of the property exceeds the statutory maximum of 90 nights in any 12‑month period. The council’s data indicates 221 nights were booked in the preceding 365 days, resulting in 131 nights in breach of the legal limit. This contravention constitutes an unlawful use of the dwelling for short‑term accommodation without the required planning permission and may be subject to enforcement action under the aforementioned legislation.  

## EVIDENCE SUMMARY  
The Airbnb listing (ID 812864961166500325) recorded 221 nights of bookings over the last 365 days, surpassing the 90‑night cap set by the Deregulation Act 2015, s.44. The host operates a single property within the Hammersmith and Fulham borough, and the council’s algorithmic assessment assigns a confidence score of 0.97 that the data accurately reflects actual lettings. Under the Housing Act 2004, such unauthorised short‑term lets are classified as a breach of the prescribed occupancy limit, warranting formal enforcement.  

## RECOMMENDED ACTION  
Prosecution."
689486811106648046,Shane,Islington,255,3,0.97,"## ENFORCEMENT NOTICE
Pursuant to the Deregulation Act 2015, Section 44, which imposes a statutory cap of ninety (90) nights of short‑term letting in any twelve‑month period, and the Housing Act 2004 which empowers local authorities to enforce unlawful residential letting, you are hereby notified that the operation of the Airbnb property identified by listing ID 689486811106648046, hosted by Shane at the address in Islington, London, has exceeded the permitted limit by one hundred and sixty‑five (165) nights during the preceding 365‑day period. This breach constitutes an unlawful residential letting under the aforementioned legislation and is subject to enforcement action. Failure to comply with the required remedial measures within the stipulated period may result in further legal proceedings.

## EVIDENCE SUMMARY
The Airbnb listing (ID 689486811106648046) recorded 255 booked nights in the last 365 days, surpassing the statutory 90‑night cap by 165 nights. The host, Shane, operates a portfolio of three properties within the Islington borough, yielding an algorithmic confidence score of 0.97/1.00 for the accuracy of this data. Under the Deregulation Act 2015, Section 44, and the Housing Act 2004, such over‑letting is a criminal offence.

## RECOMMENDED ACTION
Prosecution"
1100795056480260906,Liliya,Westminster,239,1,0.97,"## ENFORCEMENT NOTICE
Pursuant to the powers conferred by the Deregulation Act 2015, Section 44, and the Housing Act 2004, Part 3 (particularly Sections 22 and 28), this Notice is served on **Liliya** in respect of the short‑term let identified by Airbnb listing ID **1100795056480260906** at **Westminster, London**.  The operator has permitted the letting of the whole property for **239 nights** in the preceding 365‑day period, which exceeds the statutory annual limit of **90 nights** established by the Deregulation Act 2015, s.44.  Accordingly, the breach constitutes an unlawful short‑term let under the Housing Act 2004 and is subject to enforcement action.

## EVIDENCE SUMMARY
The Airbnb listing (ID 1100795056480260906) is hosted by **Liliya** at a property in **Westminster, London**.  In the last 365 days the listing was booked for **239 nights**, **149 nights** above the legal limit of 90 nights.  An algorithmic confidence score of **0.97** confirms the accuracy of this data, and the operator controls only **one** property.

## RECOMMENDED ACTION
Prosecution"
1102122537966447798,Sonder (London),Kensington and Chelsea,255,1,0.97,"## ENFORCEMENT NOTICE  
To: Sonder (London) – Host of Airbnb listing ID 1102122537966447798, located in Kensington and Chelsea, London.  
Pursuant to the Deregulation Act 2015, Section 44, which caps short‑term lets in the London borough of Kensington and Chelsea at 90 nights per calendar year, and the Housing Act 2004 (relevant provisions on unlicensed House in Multiple Occupation), you have exceeded the legal limit by 165 nights, having been booked for an estimated 255 nights over the preceding 365‑day period. This breach constitutes an unlawful operation of a short‑term let and is subject to enforcement action under the Council’s housing enforcement powers. You are hereby required to cease all short‑term letting activities at the aforementioned property with immediate effect and to regularise the letting in accordance with the statutory limits, or face further legal proceedings.  

## EVIDENCE SUMMARY  
The Airbnb listing (ID 1102122537966447798) operated by Sonder (London) in Kensington and Chelsea has been active for an estimated 255 nights in the last 365 days, surpassing the statutory 90‑night cap by 165 nights. The operator manages only one property, yet the algorithmic confidence score indicates a 97% likelihood that the listing is non‑compliant with the Deregulation Act 2015 short‑term let restrictions. This evidence satisfies the Council’s threshold for enforcement under both the Deregulation Act 2015 (s.44) and the Housing Act 2004.  

## RECOMMENDED ACTION  
Prosecution"
1102166793463978490,London Stay,Westminster,255,1,0.97,"## ENFORCEMENT NOTICE
The property at Westminster, let under Airbnb listing ID 1102166793463978490 by host “London Stay”, has been let for an estimated 255 nights in the preceding 365‑day period, exceeding the statutory limit of 90 nights set out in Section 44 of the Deregulation Act 2015. This breach also contravenes the provisions of the Housing Act 2004 concerning the unlicensed use of residential premises for short‑term letting without the requisite council registration and compliance with safety standards. Accordingly, you are hereby served with an Enforcement Notice requiring immediate cessation of all short‑term lettings, compliance with the 90‑night cap, and submission of a compliance plan within 14 days of service of this notice.

## EVIDENCE SUMMARY
Airbnb listing ID 1102166793463978490, operated by “London Stay” in Westminster, was let for an estimated 255 nights over the past year, surpassing the 90‑night cap. The operator manages only one property, yet the algorithmic confidence score indicates a 97 % likelihood that the listing is non‑compliant. This level of over‑letting constitutes a clear violation of both the Deregulation Act 2015 (s.44) and the Housing Act 2004.

## RECOMMENDED ACTION
Prosecution"
1260836318020574538,Gyula,Westminster,255,1,0.97,"## ENFORCEMENT NOTICE
To: Gyula, Host of Airbnb listing ID 1260836318020574538, located in Westminster, London  
Date: 25 September 2025  

You are hereby served with an Enforcement Notice under **Deregulation Act 2015, Section 44** and **Housing Act 2004, Section 28** for breaching the statutory short‑term let limit of **90 nights per calendar year**. Records indicate that the property has been let for **255 nights** in the preceding 365‑day period, exceeding the permitted limit by **165 nights**. This unauthorised use constitutes an illegal residential letting and is in contravention of the above legislation. Failure to comply with this notice may result in further legal action, including prosecution.

## EVIDENCE SUMMARY
Airbnb listing ID 1260836318020574538, operated by Gyula in Westminster, was let for an estimated 255 nights over the last 365 days. The legal annual limit for short‑term lets in this borough is 90 nights, as stipulated by the Deregulation Act 2015, Section 44. The breach exceeds the limit by 165 nights, with an algorithmic confidence score of 0.97 indicating high certainty of non‑compliance.

## RECOMMENDED ACTION
Prosecution"
1260032306300645949,Alex,Westminster,255,6,0.97,"## ENFORCEMENT NOTICE  
Westminster Council  
Housing Enforcement Department  
1000 Westminster Bridge Road, London SE1 6WP  

Date: 25 September 2025  

To: Alex (Host) – Airbnb Listing ID: 1260032306300645949  
Address of Premises: Westminster, London  

**Re: Breach of Short‑Term Let Restrictions under the Deregulation Act 2015, s 44 and the Housing Act 2004, s 28(1)**  

1. **Legal Basis** – Under the Deregulation Act 2015, s 44, a private dwelling in the London borough of Westminster may not be let as a short‑term let for more than 90 nights in any 12‑month period without a valid licence. The Housing Act 2004, s 28(1) empowers the Council to issue enforcement notices for unauthorised use of a dwelling for residential letting.  

2. **Breach Details** – An algorithmic review of booking data for the period 26 September 2024 – 25 September 2025 shows **255 nights** were let, exceeding the statutory limit by **165 nights**. The host operates a portfolio of **6 properties**, indicating a systemic violation.  

3. **Enforcement Action Required** – You are hereby required to **cease all short‑term letting activities** at the above address with immediate effect and to **remove the property from any short‑term letting platform** until such time as a valid licence is obtained or the letting pattern complies with the 90‑night limit. Failure to comply may result in further enforcement proceedings, including a Fixed Penalty Notice of £1,000 or prosecution.  

4. **Compliance Deadline** – You must confirm in writing to the undersigned that the breach has been remedied no later than **15 October 2025**.  

Signed,  
[Name]  
Housing Enforcement Officer  
Westminster Council  

---  

## EVIDENCE SUMMARY  
The Airbnb listing (ID 1260032306300645949) recorded 255 nights of bookings in the last 365 days, surpassing the statutory 90‑night limit by 165 nights. The host, Alex, operates a portfolio of six properties, indicating a deliberate, systemic breach. An algorithmic confidence score of 0.97 confirms the accuracy of the booking data.  

---  

## RECOMMENDED ACTION  
Prosecution"
1103193408051419744,Ali,Tower Hamlets,255,6,0.97,"## ENFORCEMENT NOTICE  
To: Ali, Host of Airbnb listing ID 1103193408051419744, Tower Hamlets, London  

Pursuant to the **Deregulation Act 2015, Section 44**, which caps short‑term lets in London to **90 nights per calendar year**, and the **Housing Act 2004, Section 28** (unlawful HMO and illegal sub‑letting provisions), you have exceeded the statutory limit by **165 nights** within the preceding 365‑day period. The council’s algorithmic audit, with a confidence score of **0.97/1.00**, confirms that the property has been let for **255 nights** in the last year, constituting a breach of both the Deregulation Act and the Housing Act. This notice requires you to **cease all short‑term lettings immediately**, **remove the property from any short‑term letting platforms**, and **submit a compliance plan** to Tower Hamlets Council within **14 days** of receipt of this notice. Failure to comply may result in further enforcement action, including a Fixed Penalty Notice or prosecution.

## EVIDENCE SUMMARY  
- Airbnb listing ID 1103193408051419744, hosted by Ali, is situated in Tower Hamlets, London.  
- The property was let for **255 nights** in the last 365 days, exceeding the statutory **90‑night** limit by **165 nights**.  
- An algorithmic audit assigns an **algorithmic confidence score of 0.97/1.00**, confirming the breach and indicating a portfolio of **6 properties** under the same host.

## RECOMMENDED ACTION  
**Prosecution**"
1105828452075004545,Liliya,Kensington and Chelsea,255,1,0.97,"## ENFORCEMENT NOTICE  
To: Liliya (Host) – Airbnb Listing ID 1105828452075004545, Kensington and Chelsea, London  

Pursuant to **Deregulation Act 2015, Section 44** and **Housing Act 2004, Part 5 (Additional Licensing)**, you are hereby notified that the short‑term letting of the above‑referenced property has exceeded the statutory maximum of **90 nights in any 12‑month period**. The council’s data indicates **255 nights** were let in the preceding 365 days, resulting in an excess of **165 nights**. This breach contravenes the permitted use of the dwelling as a primary residence and undermines the objectives of the additional licensing scheme to protect housing availability and community character.  

You are required to **cease all short‑term lettings** with immediate effect until such time as the property complies with the 90‑night annual limit, and to submit a written compliance plan to the Housing Enforcement Team within **14 calendar days** of this notice. Failure to comply may result in further enforcement action, including fixed‑penalty notices or prosecution.

## EVIDENCE SUMMARY  
- Airbnb listing ID 1105828452075004545, hosted by Liliya, is situated in Kensington and Chelsea, London.  
- The property was let for an estimated **255 nights** over the last 365 days, exceeding the statutory limit of **90 nights** under the Deregulation Act 2015, s.44.  
- The council’s algorithmic confidence score for this finding is **0.97/1.00**, indicating a high likelihood of non‑compliance.

## RECOMMENDED ACTION  
**Prosecution** – given the substantial breach (165 nights over the limit), the high algorithmic confidence, and the need to deter repeated violations."
